label,ComplementNB_pred,overall,summary,text_preview
Neutral,Negative,3.0,Gasket is too large.,"Gasket is too large.. This is the second time I bought this filter for our fridge. Unfortunately, this will be the last time because the larger gasket is not th"
Positive,Negative,5.0,Expensive,Expensive. I think it filters the drinking water. How do you know it's not full of harmful unknown substances? You must trust so much!!! Plus they make you pay 
Neutral,Negative,3.0,Cutest things ever! Unfortunately does not deserve 5 stars ...,"Cutest things ever! Unfortunately does not deserve 5 stars .... Cutest things ever!
Unfortunately does not deserve 5 stars because de design doesnt hold up the "
Neutral,Positive,3.0,Expensive replacement part,"Expensive replacement part. Expensive piece of rubber.
I reused the broken one by tying black electrical tape around it."
Positive,Neutral,4.0,Four Stars,Four Stars. No choice you have to use this brand and it is way to expensive!
Positive,Negative,5.0,Excellent filter; 3 month life; here's the issue...,Excellent filter; 3 month life; here's the issue.... The GE MWF refrigerator filter is an excellent filter rating NSF-53 which means it removes chlorine and par
Positive,Neutral,5.0,Five Stars,"Five Stars. Looks smart, doesn't slip or slide, seals the gap, and has handled the heat of the stove."
Negative,Neutral,1.0,Empty boxes,Empty boxes. Box was empty!!!!!  Had to go get one locally.
Neutral,Negative,3.0,Good for 18 mos. maybe,Good for 18 mos. maybe. Worked well for 18 mos. Now runs slowly or not at all. This is my second one and the first one had the same problem.
Negative,Positive,1.0,Replacement  filters,Replacement  filters. I order 20 X 25 and I got 18 X 23. We will not order again and still need the filters.
Neutral,Positive,3.0,Average Construction Material,Average Construction Material. The vent arrived quickly and works relatively well. I would have preferred that it be more quality construction even if it was mo
Neutral,Positive,3.0,lesser quality,lesser quality. This works but was a lesser quality than what was removed from my dishwasher.  Seems more flimsy.
Positive,Neutral,5.0,Squeeze for jesus,Squeeze for jesus. This puts the hard squeeze on my washer! Squeezing haarrdd!
Positive,Negative,5.0,"Better than plastic, more convenient than steel.","Better than plastic, more convenient than steel.. Well made and just the right length. Didn't want plastic as just don't trust those ones for dryer heat. Hva e "
Neutral,Positive,3.0,Not a direct replacement,Not a direct replacement. Even though it did the job. It was not the direct replacement that was cliaimed. A person with little mechanical knowledge would have 
Neutral,Positive,3.0,May need a three solenoid cluster,"May need a three solenoid cluster. Not for my stackable LG.
Needed a three solenoid cluster."
Negative,Neutral,2.0,Not for use as an alarm clock,"Not for use as an alarm clock. This is a good clock and weather monitor, but if you want to use this as an alarm clock, forget it.  It has a pitiful squeaky ala"
Neutral,Negative,3.0,Had to create a gasket to make this filter work ...,Had to create a gasket to make this filter work .... Had to create a gasket to make this filter work without having an awful water hammer and slow flow.
Neutral,Positive,3.0,burner protectors,"burner protectors. I was not quite satisfied with this product.  I worked very diligently to cut the product to fit around the burners for each one, but I still"
Neutral,Negative,3.0,Does not make water taste better,"Does not make water taste better. I bought this because originally the water from my refrigerator had a very fresh taste to it, but replacing this cartridge did"
Neutral,Positive,3.0,I wish my Hyena was as nicely made as my hyena is that was made by ...,I wish my Hyena was as nicely made as my hyena is that was made by .... Very cute! I wish my Hyena was as nicely made as my hyena is that was made by the same b
Positive,Neutral,5.0,"Wrong type of filter for my machine, My error.","Wrong type of filter for my machine, My error.. GOT THE WRONG TYPE OF FILTER FOR MY MACHINE.  Note to self : Do not order stuff way past your bedtime. LOL."
Positive,Negative,5.0,Don't scratch your cooktop!,Don't scratch your cooktop!. These little rubber tips for the bottom of the burner grates are more important than you would think. Anyone with a Dakor cooktop n
Positive,Negative,4.0,but all is well and I am happy with the end result,"but all is well and I am happy with the end result. Everything worked well,however the connections to the water lines were not the proper directions and the pac"
Positive,Negative,5.0,Nifty Device,Nifty Device. cool device so you can use a dryer that vents the the indoors.  I just don't need it becasue my room has a dryer vent.  I will be returning it.  I
Neutral,Negative,3.0,Outside of that it looks nice.,"Outside of that it looks nice.. I bought this washer from Sears in the store.  One week later waiting for delivery, they say the machine is not currently in man"
Neutral,Negative,3.0,Three Stars,Three Stars. It's too large and I need to return it.  How can I return it?
Neutral,Negative,3.0,Three Stars,Three Stars. didn't fit
Negative,Neutral,2.0,Two Stars,Two Stars. Not what ordered. Not for Frigidaire brand.
Neutral,Positive,3.0,Three Stars,Three Stars. Not an original replacement as is made out to be. Seems to work okay.
Positive,Negative,4.0,nothing is perfect. Hopefully the new one lasts longer,"nothing is perfect. Hopefully the new one lasts longer. Makes enough ice for my family.  My refrigerator ice maker can't keep up.

Only problem is that my first"
Positive,Neutral,4.0,This is fine for boiling water quickly but I have to use ...,This is fine for boiling water quickly but I have to use .... I'm not sure if it is my stove or these parts but all of the burners run too hot on LP. This is fi
Positive,Neutral,5.0,"When Carolina is happu, everybody is happy.","When Carolina is happu, everybody is happy.. Just what Carolina ( our housekeeper wanted) the old ones were damaged in a move.  The world is a better place."
Positive,Negative,5.0,The only thing i didn't like about this vent closure is that it doesn't come ...,The only thing i didn't like about this vent closure is that it doesn't come .... The only thing i didn't like about this vent closure is that it doesn't come p
Positive,Negative,5.0,The air filter did not fit into the holder - ...,The air filter did not fit into the holder - .... The air filter did not fit into the holder - what we had before was just a filter without the enclosure - it d
Positive,Negative,5.0,Buy the Real Thing!,"Buy the Real Thing!. Buy the real thing - Don't get imitations, these work and the others don't."
Positive,Neutral,5.0,Instructions would have been nice.,"Instructions would have been nice.. Works exactly as it should.  Ice is being made once again.

** please note.  After installing this. You will need to do the "
Negative,Neutral,1.0,Fabric softener dispenser,Fabric softener dispenser. There isn't any way to clean this out.  After several uses it gets nasty from the fabric softener.  They need to make it so the top c
Positive,Negative,5.0,Satisfied. I hope to buy again from this Seller,Satisfied. I hope to buy again from this Seller. Satisfied.  I hope to buy again from this Seller.
Positive,Negative,5.0,Careful to get the right switch on the Subzero - ...,Careful to get the right switch on the Subzero - .... Careful to get the right switch on the Subzero - I have the 632. The left switch is for the light (on when
Positive,Negative,4.0,Paper or Plastic? Best of both worlds,"Paper or Plastic? Best of both worlds. Very good product.  This is a paper bag with wax paper like inner lining.  Pre-formed for easy fit.
I expect to be able t"
Neutral,Positive,3.0,Expensive filter,"Expensive filter. Filter does what it is supposed to do, but the price has escalated to almost a painful amount!"
