label,MultinomialNB_pred,overall,summary,text_preview
Negative,Positive,2.0,Cool design but super poor in efficiency,"Cool design but super poor in efficiency. I've been solely involved with dryer venting for over 15 years.  When I ran a Back Pressure test on these ""wiffle ball"
Neutral,Positive,3.0,Now it works fine.,Now it works fine.. This filter was difficult to install and initially leaked. Now it works fine.
Neutral,Negative,3.0,Mislead by a Picture and listing of a OEM Product,"Mislead by a Picture and listing of a OEM Product. Switch worked fine, but it was listed as factory part with a picture showing a whirlpool image,  but was a af"
Neutral,Positive,3.0,Works well but doesn't seem to last very long,Works well but doesn't seem to last very long. This wicking filter works well but doesn't seem to last very long. It doesn't hold it's shape and tends to dry ou
Neutral,Negative,3.0,Wash it before you use it (smelled literally like fish). Do not over pack it,Wash it before you use it (smelled literally like fish). Do not over pack it. Wash it before you use it (smelled literally like fish). Do not over pack it. On t
Negative,Positive,2.0,Thin plastic,Thin plastic. The plastic is thinner than the original. It cracked within a few days.
Negative,Positive,2.0,read fine print,"read fine print. my own fault , I guess, last time I ordered this I got six in a box for about the same price as this time in which I only received one filter"
Neutral,Positive,3.0,Three Stars,Three Stars. Received the wrong part.
Negative,Positive,1.0,Thin metal size problem,"Thin metal size problem. The product has thinner metal than the original drip pans, so thin that one was bent during shipping.  The two larger of the pans didn'"
Neutral,Positive,3.0,Three Stars,Three Stars. its fit well
Negative,Positive,1.0,Gas leak,Gas leak. I bought this Stove in 2004. It had a low level gas leak and it made me very ill. It was leaking gas even when it was off.
Negative,Positive,2.0,Two Stars,Two Stars. Product leaked once installed.  Had to return.
Neutral,Positive,3.0,Drips after using,"Drips after using. The taste of the water with this filter seems to be about as good as the other filters.

I decided to try this filter since another brand of "
Neutral,Positive,3.0,product is meh,product is meh. Purchased the product and paid for expedited shipping only to receive it on the last day available.  I ordered something after I ordered this pr
Negative,Positive,2.0,Not quite good enough,Not quite good enough. These burner covers were made of thin metal. They bent or buckled very easily. They need to be made of heavier metal.
Neutral,Positive,3.0,Three Stars,Three Stars. not bad
Neutral,Positive,3.0,Not as good as OE but cheaper by far,Not as good as OE but cheaper by far. Not as good as OE but cheaper by far. Does not protect against cysts that require a .5 micron filter
Negative,Positive,1.0,no good,no good. wore out within the first month
Neutral,Positive,3.0,Good service,Good service. This product did not meet my expextation. It is too flimsy. It moved when I placed the burner frames. They should improve its weight that way it  
Negative,Positive,2.0,"only can wash. Switch without any mark, don't ...","only can wash. Switch without any mark, don't .... only can wash .Switch without any mark, don't know is on or off. I have just used for 2 years, i t is out of "
Neutral,Positive,3.0,Good idea but not enduring in my case,"Good idea but not enduring in my case. Good solution for a couple of months, then it got loose..."
Positive,Negative,5.0,Brings dishwasher back to tip-top shape,Brings dishwasher back to tip-top shape. I've been using the paint on stuff for some time now to keep my racks from getting too rusty. Some of the tines had bec
Neutral,Positive,3.0,Three Stars,"Three Stars. It works, but died after 3 Months."
Negative,Positive,2.0,Broken,Broken. Item is what I need but it's broken.
Negative,Positive,1.0,May not filter out what you want.,"May not filter out what you want.. You will not get a Maytag UKF8001 but instead get a RFC 0900A replacement filter which is ""compatible"". It only filters lead "
Negative,Positive,1.0,Returned and replaced with another brand which work great. Thanks Amazon for a smooth refund process,"Returned and replaced with another brand which work great. Thanks Amazon for a smooth refund process. Despite manufacturer claims, these are not compatible with"
Negative,Positive,1.0,"I ordered a wick with blue filter, but received a plain wick without a filter","I ordered a wick with blue filter, but received a plain wick without a filter. i expected to receive a wick with a blue filter. i was a simple wick without a fi"
Negative,Positive,1.0,Item was great at first but it only makes onr batch of ...,Item was great at first but it only makes onr batch of .... Item was great at first but it only makes onr batch of ice then stops also when i took unit out of t
Positive,Neutral,5.0,Works as advertised. Doesn't switch to Fahrenheit for temperature though.,Works as advertised. Doesn't switch to Fahrenheit for temperature though.. I use this as a backup humidity sensor to verify the display on my Honeywell t-stats.
Neutral,Positive,3.0,"The filters are great, I just taste a slit something in the ...","The filters are great, I just taste a slit something in the .... The filters are great, I just taste a slit something in the water when first installed. After a"
Negative,Positive,2.0,Two Stars,Two Stars. Had this dryer a year and the heating element already went out
Negative,Positive,2.0,Frame Missing,Frame Missing. Just went to install and metal frame was not included.  Fortunately was able to use the old one.  Not as described.
Negative,Positive,1.0,One Star,One Star. Dries up fast! Can't find the original style with a blue pre-filter . Frustrating! ECN.
Positive,Negative,4.0,Loved it ...until now,Loved it ...until now. We bought our first dryer 7 years ago and instantly fell in love with it.  Sure it was noisy but the fact it was a Top Loading Dryer I le
Positive,Neutral,5.0,Wonderful product!,"Wonderful product!. It is better than my broken model, which I only used 3 weeks. The pipe can rotate 360 degrees and never wrapped up, the nut part similar lik"
Neutral,Negative,3.0,Three and a half is my mark,"Three and a half is my mark. I got this washer today and it's running as I type this. Contrary to other reviews, it was quite easy to set up and assemble; I had"
Negative,Positive,2.0,It worked great....for a time.,"It worked great....for a time.. Fun while it lasted, worked fine for about nine months but now it does nothing but take up space. Now looking for something bett"
Positive,Negative,4.0,"Great Product, Great Company","Great Product, Great Company. I bought this machine in December of 2007.  The first machine didn't work right, but I didn't realize it because I'd never had an "
Neutral,Negative,3.0,... is too stiff thus requiring that much of the waste has to be force fed into the garbage,... is too stiff thus requiring that much of the waste has to be force fed into the garbage. material is too stiff  thus requiring that much of the  waste has t
Positive,Negative,5.0,this gives a near equivalent (for some applications) at a good price. It is worth the cost,"this gives a near equivalent (for some applications) at a good price. It is worth the cost. Cable chain. What's to say? It's well made, the links do not open so"
Negative,Positive,1.0,I have not find a good replacement for the Waste King L-2600 guard yet,I have not find a good replacement for the Waste King L-2600 guard yet. This looses it shape after a few weeks/ months and starts to fall into the disposal grin
Neutral,Positive,3.0,"Whirlpool W10278125 Drip Pan Kit, Chrome","Whirlpool W10278125 Drip Pan Kit, Chrome. Whirlpool W10278125 Drip Pan Kit, Chrome

The ""Drip Pan Kit""  didn't come with a magic Genie :) to just change out the"
Negative,Positive,2.0,Two Stars,Two Stars. Rollers fit and worked well initially but are becoming more noisy daily
