label,GradientBoosting_pred,overall,summary,text_preview
Negative,Neutral,2.0,Two Stars,Two Stars. doesn't fit my sink
Positive,Negative,5.0,My garbage disposal had stopped working for a few days,"My garbage disposal had stopped working for a few days. My garbage disposal had stopped working for a few days, when I learned about these wrenches. I'm not sur"
Neutral,Negative,3.0,Don't know how long this one will last,Don't know how long this one will last. It was a replacement for the last one I bought 1 year ago.
Negative,Positive,1.0,Nothing Sucks Like An Electrolux,Nothing Sucks Like An Electrolux. Fifty years ago Electrolux used that slogan to market their excellent vacuum cleaners - they should use it again for this frid
Positive,Negative,5.0,Vornado Filters,Vornado Filters. I have used these filters for 6 years and have never had a problem.  In the winter in Oregon I keep the unit running 24 hours a day for about 5
Neutral,Positive,3.0,Good quality with some annoyances,"Good quality with some annoyances. Good quality, and an improvement over some earlier models. However, the front panel arrived with some minor denting on the bo"
Neutral,Positive,3.0,Good price compared to Lowes but you need to run ...,"Good price compared to Lowes but you need to run .... Good price compared to Lowes but you need to run several gallons through it before drinking the water, to "
Neutral,Negative,3.0,"Do not use for precise applications. For casual use, it's okay.","Do not use for precise applications. For casual use, it's okay.. We have several of these instruments and upon comparing them side by side they vary within abou"
Neutral,Negative,3.0,Not a bad basic range bag,"Not a bad basic range bag. I bought this as my first range bag. The 2 pouches for gun are awful in my opinion, the are super thin and the velcro is awful, I end"
Neutral,Positive,3.0,Good product but installation is not easy.,Good product but installation is not easy.. The product seems to be sturdy and made of high quality material. It has two fans therefore it could be powerful and
Negative,Positive,1.0,Only for skinny burner grates,"Only for skinny burner grates. They look nice and they fit on the stove, but they do not allow the burner grate to fit on top. They need to be at least a 1/4"" b"
Negative,Positive,1.0,Be careful from reviews that say it works great the first week it's installed,"Be careful from reviews that say it works great the first week it's installed. Bought in on December 15, 2015 and on May 08/2016 STOPPED WORKING Only 5 Months l"
Neutral,Positive,3.0,Three Stars,Three Stars. They did the job. I needed to bend or trim the filter to fit.
Positive,Negative,5.0,"No issues, Right part for the Frig.","No issues, Right part for the Frig.. Would buy it again and will have to in another 6 months. Original part so no muss no fuss.  Was 15.00 less than local hardw"
Positive,Negative,5.0,Perfect Quality Fitting To Attach To The Dishwashers Water Valve For Your Dishwasher Installation,"Perfect Quality Fitting To Attach To The Dishwashers Water Valve For Your Dishwasher Installation. Very high quality, and I used this today to install my new di"
Neutral,Positive,3.0,Three Stars,Three Stars. This replacement knob is smaller in diameter than the original.
Negative,Positive,1.0,not a replacement filter its a clip on,not a replacement filter its a clip on. not a replacement filter its a clip on
Negative,Positive,2.0,I didn't know I could just screw the dishwasher into ...,I didn't know I could just screw the dishwasher into .... I didn't know I could just screw the dishwasher into the side cabinets. Didnt end up needing all these
Neutral,Positive,3.0,Three Stars,Three Stars. Was correct handle... Havn't used as I fixed my old one with JB Weld.
Negative,Positive,1.0,there is not a good seal and the water filter leaks,"there is not a good seal and the water filter leaks. These are shorter than the name brand ones from Kenmore, so when you install them, there is not a good seal"
Neutral,Positive,3.0,Probabaly not the quality of LG filters.,"Probabaly not the quality of LG filters.. After the installation, the water was dark (maybe charcoal filter material?) for the first 2 gallons while flushing wh"
Neutral,Positive,3.0,It is the right price,It is the right price. I have had no problem with it. I like it so far its been 2 months of use. It has worked for me.
Neutral,Positive,3.0,Three Stars,Three Stars. ok
Negative,Positive,1.0,I hated it. When I installed it,"I hated it. When I installed it. I hated it.  When I installed it, black water flushed out for two or three gallons.  Tried to use it after it cleared, for a co"
Positive,Negative,4.0,Does the job.,"Does the job.. Works as advertised, but takes time and patience . Has been on a few months and looks like it is holding up for the moment.
I used navel jelly to"
Positive,Negative,4.0,It does the job,"It does the job. It fit in the slot, and the previous once seemed to have lasted a decent while before crystalizing over with calcium."
Neutral,Negative,3.0,Lousy mounting options,"Lousy mounting options. I can't speak for the accuracy or precision, but they've been pretty useful regardless.

My main gripe is that they're not designed very"
Negative,Positive,1.0,Filter is not a Direct Replacement - watch out,"Filter is not a Direct Replacement - watch out. Cheap knockoff that can actually hurt your refrigerator - watch out for the ""Compatible"" - means not a direct re"
Negative,Positive,2.0,Unexpected melting.,"Unexpected melting.. This worked for less then a month, this pump's pivot point melted causing a leak out of the center apex on the front face.&nbsp;<a data-hoo"
Negative,Positive,2.0,Two Stars,"Two Stars. need to return this item......
THOUGHT THIS ITEM WAS STAINLESS STEEL INSTEAD ITS WHITE."
Negative,Positive,1.0,Four Stars,"Four Stars. This seems to be a manipulated product. I bought exactly the same filter and 1 filter, it worked for you months, and the one I bought here in Amazon"
Neutral,Positive,3.0,"Do the job, but careful when you extend to longest length!","Do the job, but careful when you extend to longest length!. I used these and they're OK. If you over-extend them a bit, they fail to allow you to recoil them ba"
Negative,Positive,2.0,Not as advertised...,Not as advertised.... I have an older Frigidaire refrigerator (made before they became an Electrolux product) with ice and water through the door.  Although its
Negative,Positive,1.0,It says universal but only works with 5/16 pipe. ...,It says universal but only works with 5/16 pipe. .... It says universal but only works with 5/16 pipe. I have 1/4 supply. Kind of a pain. Was thinking it would 
Negative,Positive,1.0,The Machine never worked right making too much ice in ...,The Machine never worked right making too much ice in .... The Machine never worked right making too much ice in winter and melting so fast in summer it rarely 
Negative,Positive,2.0,They should have tested it or done a better job protective wires before pulling it in through the ...,"They should have tested it or done a better job protective wires before pulling it in through the .... Its okay, but quality control is lacking.
First the inter"
Neutral,Positive,3.0,Three Stars,Three Stars. a little too wide for my actual liking but does do what i bought it for well.
Negative,Neutral,2.0,Ok,Ok. No way to fit these properly
Negative,Positive,2.0,Two models died over 2 years - find something else,Two models died over 2 years - find something else. I've had two of these units for my shop over the past two years. The second unit seems to have had the same 
Neutral,Positive,3.0,Working okay so far but drainage hose leaks,Working okay so far but drainage hose leaks. I love this thing. I cannot even describe to you how much I hate cleaning dishes. I have a full time job and when I
