label,MLP_pred,overall,summary,text_preview
Neutral,Positive,3.0,The product is great but the fit is a bit awkward for my ...,The product is great but the fit is a bit awkward for my .... The product is great but the fit is a bit awkward for my stove/countertop. As this product is soli
Neutral,Positive,3.0,Whirlpool fridge filter works but expensive.,Whirlpool fridge filter works but expensive.. Great taste for our fridge water. Unfortunately with this new style the price went way up. No noticeable change in
Negative,Positive,1.0,First impression - Fail,First impression - Fail. Purchased a house with one installed.  It takes forever to boil water.  The glass control panel shattered on its own (no joke... nobody
Positive,Neutral,4.0,Four Stars,Four Stars. Nice fridge however doesn't get really cold
Neutral,Positive,3.0,Short-term normal quality washer.,"Short-term normal quality washer.. Hard to use, but can be helpful for casual use. not for the large amount of clothes. If you want to buy long-term washer it's"
Negative,Positive,2.0,FATAL FLAW,"FATAL FLAW. First, I give the unit two stars because it works and it pulls a lot of air. It has worked for us since 2009 and only recently the light bulbs faile"
Neutral,Positive,3.0,Fits but not quite the same,Fits but not quite the same. I ordered a water filter hat was described as being the same as the Kenmore model.  It was significantly less expensive.  While it 
Neutral,Positive,3.0,16 Pack of WB02T10461,"16 Pack of WB02T10461. Bought these to replace the ones that came with our stove, but they melted like the originals on by the hottest burner on the cook top.  "
Negative,Positive,1.0,I recommend against this range,"I recommend against this range. I recommend against this range. If you use the stove top and oven at the same time, hot air blows out the front of the unit onto"
Negative,Positive,1.0,DO NOT BUY this dryer or set,"DO NOT BUY this dryer or set. I buy the this dryer, and within 2 years, I have replace the thermostat once ($20 value), and the heater element twice ($216 value"
Positive,Negative,5.0,they work well,"they work well. paper lined with a thin sheet of plastic - i was skeptical. Have been happily proved wrong...these bags don't leak or break through, and i've tr"
Negative,Neutral,1.0,It was first time buying this.,It was first time buying this.. It was first time buying this. I thought it was going to change a bit the taste our water instead it was the same
Neutral,Positive,3.0,The samsung filter made the water taste much better.,The samsung filter made the water taste much better.. It fits right but the water tastes the same as what comes out of the faucet. The samsung filter made the w
Neutral,Positive,3.0,Three Stars,Three Stars. When it arrived it was badly damaged
Negative,Positive,2.0,Product should have been made in a T shape rather ...,Product should have been made in a T shape rather .... Product should have been made in a T shape rather than an L shape.  Food particles can still get lodged b
Neutral,Positive,3.0,It's a filter.....,"It's a filter...... Duh, its a filter, what can you say about it.... and I own an HVAC business!!  Works as it should!!???"
Neutral,Positive,3.0,Not the easiest to set up.,"Not the easiest to set up.. Once I got this ice-maker going, everything was fine.

For some reason, the valve that was included didn't match the drawings in the"
Negative,Positive,1.0,One Star,One Star. Good product and fast shipping.  It was evere thing just as advertised
Negative,Positive,1.0,Works great not anymore,Works great not anymore. It is working great. We like it a lot. Thank you Keith It's broken less than one year. The flap node broke no more ice. Spent to much. 
Neutral,Positive,3.0,Three Stars,"Three Stars. not as good as the original, but a good cheap alternative."
Neutral,Positive,3.0,"Looks good. Easy DIY Install, Fan is LOUD any setting.","Looks good. Easy DIY Install, Fan is LOUD any setting.. Plastic vent is 6 not 8  Looks good, easy install. Fan is loud any setting."
Neutral,Negative,3.0,Kenmore heating element and thermostat,"Kenmore heating element and thermostat. The Element was fine, the thermostat was a
problem had to cut and splice too many wires. I still had to purchase another"
Positive,Neutral,4.0,Very Good Product,"Very Good Product. This hood is a very good hood at an extremely good price.  Unfortunately, I ordered the wrong one (my fault) and had to return it.  It was fr"
Neutral,Positive,3.0,Noisy Filter,Noisy Filter. Somehow this filter is noisy when dispensing water (or ice maker is engaged). It's loud enough to be annoying and reason to not purchase again. No
Neutral,Positive,3.0,not perfect.,"not perfect.. Fits but, not perfect."
Positive,Negative,4.0,Worked well. Saved money DIY.,"Worked well. Saved money DIY.. last time I tried to replace just the coil heating wire, but I must have stressed the wire a bit much on one of the turns. This t"
Negative,Positive,2.0,I bought these to replace the gasket of our freezer ...,"I bought these to replace the gasket of our freezer .... I bought these to replace the gasket of our freezer.  They arrived all kinked and, even after soaking t"
Negative,Positive,2.0,I hate my washer,I hate my washer. I purchased 3 of these for my stupid washer. I don't know if it's the washer or the bellow. But where the gussets are where the drain is at th
Neutral,Negative,3.0,Not sure I would buy this again.,"Not sure I would buy this again.. Items were sent in a timely manner.  However, I thought the items were dishwasher proof but the plain pan started to crinkle a"
Negative,Positive,1.0,The worse purchase I've ever made.,The worse purchase I've ever made.. I live in an apartment. The first thing I thought when I saw this was that looks like it would work for me and it has four s
Positive,Negative,4.0,They do everything the are supposed to,"They do everything the are supposed to. After turning on the wrong burner and smoking my old cover, I ordered these as replacements. They ARE made of lightweigh"
Neutral,Positive,3.0,filter o ring,"filter o ring. i recieved the product, if it was the right one i would love it.  It was a little too big and too thin. but thats ok i will just keep it someone "
Neutral,Negative,3.0,Needs Some Headroom...,"Needs Some Headroom.... These work as an odor filter as long as they don't get clogged with grease vapors.
I also had a problem when I installed a new filter..."
Negative,Positive,2.0,For the price I expected much better ice. The ice melts the moment you pour ...,For the price I expected much better ice. The ice melts the moment you pour .... For the price I expected much better ice. The ice melts the moment you pour a l
Negative,Positive,2.0,Two Stars,Two Stars. Inner gear dimensions do not match factory specs.  Had to use old sprocket.
Negative,Positive,1.0,The part worked fine. Getting the refund back after being promised that ...,The part worked fine. Getting the refund back after being promised that .... The part worked fine. Getting the refund back after being promised that I would rec
Neutral,Positive,3.0,Packaging a problem,"Packaging a problem. I was happy to find filters that fit my down draft Jennair range. The product is fine, the price is fine BUT the packaging was flimsy and r"
Negative,Positive,1.0,My hair looks worse after using it,"My hair looks worse after using it. This is not worth the money, doesnt do what it is suppose to. My hair looks worse after using it."
Neutral,Negative,3.0,"Didn't solve my issue, but CS was good","Didn't solve my issue, but CS was good. It worked great at first. Was able to run a load, but than a few weeks later it started doing the same thing as before ("
